ad_id,date_range_start,ad_url,advertiser_id,advertiser_name,youtube_url,ad_text
CR09057119831421091841,2020-10-28,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR09057119831421091841?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=9D6-XZm_I8M&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," I started this campaign saying we're in the battle for the soul of the nation. I believe that even more deeply today. Who we are, what we stand for, and maybe most importantly, who we are going to be, it's all at stake. Characters on the ballot, the character of the country, and this is our opportunity to leave the dark, angry politics of the past four years behind us. To choose hope over fear, unity over division, science over fiction. I believe it's time to unite the country, to come together as a nation, but I can't do it without you, so I'm asking for your vote. We need to remember, this is the United States of America, and there's never been anything we've been unable to do when we've done it together. I'm Joe Biden, and I approve this message."
CR17227042630878101505,2020-10-13,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR17227042630878101505?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=_6zZyajLMGg&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Somos jóvenes, pero podemos ver nuestro futuro. Tenemos planes y sueños, los cuales heredamos de nuestras familias. Somos líderes en nuestra comunidad. Tenemos carácter, convicción y corazón. Y por estos valores votaremos."
CR03018292459152080897,2020-10-22,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR03018292459152080897?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=3LfL3ecqJn0&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt, You can't fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety. I'm Joe Biden and I approve this message.
CR10356492573995958273,2020-09-15,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR10356492573995958273?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=IOM79dM4g_k&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Why in this nation do black Americans wake up knowing that they can lose their lives in the course of just living their life? Part of the point of freedom is to be free from brutality, from injustice, from racism and all of its manifestations. We have to let people know that we not only understand their struggle, but they understand the fact that they deserve to be treated with dignity. They've got to know we're listening. Reforming policing in this country means creating a national standard on use of force and conditioning federal funds for police departments on adoption of that standard. It's about reining in qualified immunity. We hold police officers accountable. We can't turn away. Now is the time for racial justice. I believe with every fiber in my being, we have such an opportunity now to change people's lives for the better. It's about who we are, what we believe, and maybe most importantly, who we want to be."
CR09489014046125457409,2020-10-15,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR09489014046125457409?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=si1rBv58wYQ&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," The Social Security Administration just released a report saying that a plan like the one Trump is proposing would wipe out Social Security. If I'm your president, we're going to protect Social Security and Medicare. You have my word."
CR13750363224350392321,2020-07-24,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR13750363224350392321?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=PqL4PiMR-_0&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt, Today we're facing a serious threat. We need a president who will level with the American people. A president who will take responsibility. A president who will listen to the experts. A president who will lead and be an example for the nation.
CR09046353413561909249,2020-02-27,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR09046353413561909249?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=Lztcxup0vrI&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," He could have picked anyone, but Barack Obama chose Joe Biden. And for eight years, Joe Biden served as his loyal vice president. This election, Congressman Jim Clyburn could have picked anyone, but he endorsed Joe Biden because Jim Clyburn knows Joe Biden and trusts him. Now, it's your choice. The power is in your hands to pick a president who's always stood by us, who can beat Donald Trump and make our lives better. I'm Joe Biden, and I approve this message."
CR12220649530265174017,2020-10-28,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR12220649530265174017?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=Y2Xos_DAAPw&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," There have been powerful voices for justice in recent weeks and months. And Doc Rivers, the basketball coach, choking back tears when he said, we're the ones getting killed. We're the ones getting shot. It's amazing why we keep loving this country and this country doesn't have love in its back. I think about what it takes for a black person to love America. That is a deep love for this country that has for far too long never been recognized. We can't undo what has been done. We can't go back. We can do so much better. We cannot and will not walk away from our obligation to at long last face the reckoning on racial justice in this country. As president, that's precisely what I will do. I'm ready to fight for you and for our nation every day."
CR15164085176213962753,2020-08-22,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR15164085176213962753?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=NSP8_wuzUwo&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Mom taught us that courage was not defined by the lack of fear, but by the willingness to act in spite of your fears. That bravery lived in each of our hearts. She taught us never to be intimidated by power, wealth, or station. That we could set our own standards based on character alone. She called it the Biden Standard. My mother's creed is the American Creed. For more information, visit www.FEMA.gov"
CR11139274484228292609,2020-07-13,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR11139274484228292609?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=xjGBVmQKolk&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," I know so many Americans are suffering, suffering loss of a loved one, suffering economic hardship. A country is crying out for leadership, leadership that can unite us, leadership that brings us together. That's what the presidency is, the duty to care, to care for all of us, not just those who vote for us, but all of us. But I promise you this, I won't traffic in fear and division. I won't fan the flames of hate. I'll seek to heal the racial wounds that have long plagued our country, not use them for political gain. I'll do my job and I will take responsibility. I won't blame others. You know, I've said from the outset of this election that we're in the battle for the soul of this nation. But we believe, maybe most importantly, who we want to be. It's all at stake. We stand together, finally as one America. We'll rise stronger than we were before. I'm Joe Biden and I approve this message."
CR10380615171914596353,2020-09-03,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR10380615171914596353?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=uuFOU69881Q&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Scranton made Joe Biden who he is. It's where he learned middle class values that stuck with him his entire life. In this crisis, we need a president on the side of workers, not Wall Street. Joe Biden. He'll unite us for a better America."
